WGMS_ID,YEAR,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,POINT_LAT,POINT_LON
878,1994,36.0,-32.0,4.0,12.37683299999999,342.906333
878,1995,51.0,1.0,52.0,12.37683299999999,342.906333
878,1996,-14.0,-7.0,-21.0,12.37683299999999,342.906333
878,1997,9.0,27.0,36.0,12.37683299999999,342.906333
878,1998,41.0,-10.0,31.0,12.37683299999999,342.906333
878,1999,5.0,-21.0,-16.0,12.37683299999999,342.906333
878,2000,14.0,-24.0,-10.0,12.37683299999999,342.906333
878,2001,2.0,-6.0,-4.0,12.37683299999999,342.906333
878,2002,-3.0,-132.0,-135.0,12.37683299999999,342.906333
878,2003,11.0,6.0,17.0,12.37683299999999,342.906333
878,2004,-36.0,11.0,-25.0,12.37683299999999,342.906333
878,2005,-27.0,-9.0,-36.0,12.37683299999999,342.906333
878,2006,52.0,-20.0,32.0,12.37683299999999,342.906333
878,2007,-3.0,-30.0,-33.0,12.37683299999999,342.906333
878,2008,-5.0,-2.0,-7.0,12.37683299999999,342.906333
878,2009,0.0,-48.0,-48.0,12.37683299999999,342.906333
878,2010,1.0,8.0,10.0,12.37683299999999,342.906333
878,2011,34.0,-53.0,-19.0,12.37683299999999,342.906333
878,2012,12.0,-25.0,-12.0,12.37683299999999,342.906333
3973,1994,33.0,-19.0,14.0,12.336667000000006,343.076
3973,1995,37.0,5.0,42.0,12.336667000000006,343.076
3973,1996,-36.0,0.0,-36.0,12.336667000000006,343.076
3973,1997,13.0,8.0,21.0,12.336667000000006,343.076
3973,1998,12.0,-8.0,4.0,12.336667000000006,343.076
3973,1999,26.0,-14.0,12.0,12.336667000000006,343.076
3973,2000,-9.0,-24.0,-33.0,12.336667000000006,343.076
3973,2001,-14.0,-1.0,-15.0,12.336667000000006,343.076
3973,2002,-12.0,-87.0,-99.0,12.336667000000006,343.076
3973,2003,-17.0,-2.0,-19.0,12.336667000000006,343.076
3973,2004,-47.0,16.0,-31.0,12.336667000000006,343.076
3973,2005,-40.0,12.0,-28.0,12.336667000000006,343.076
3973,2006,31.0,-7.0,24.0,12.336667000000006,343.076
3973,2007,-35.0,-27.0,-62.0,12.336667000000006,343.076
3973,2008,-15.0,-4.0,-19.0,12.336667000000006,343.076
3973,2009,20.0,-42.0,-22.0,12.336667000000006,343.076
3973,2010,-18.0,5.0,-12.0,12.336667000000006,343.076
3973,2011,24.0,-47.0,-21.0,12.336667000000006,343.076
3973,2012,-12.0,-17.0,-28.0,12.336667000000006,343.076
3903,2008,1250.0,-1787.0,-537.0,60.0188,110.3605
3903,2009,983.0,-1980.0,-997.0,60.0188,110.3605
3903,2010,366.0,-1395.0,-1029.0,60.0188,110.3605
3903,2011,317.0,-2362.0,-2045.0,60.0188,110.3605
3903,2012,575.0,-2112.0,-1537.0,60.0188,110.3605
3903,2015,14.0,-3032.0,-3018.0,60.0188,110.3605
3903,2015,-102.0,-2898.0,-3000.0,60.0188,110.3605
3903,2015,-43.0,-2325.0,-2368.0,60.0188,110.3605
3903,2015,34.0,-1808.0,-1981.0,60.0188,110.3605
3903,2015,161.0,-1980.0,-1819.0,60.0188,110.3605
3903,2015,26.0,-2048.0,-2082.0,60.0188,110.3605
3903,2015,73.0,-2010.0,-1896.0,60.0188,110.3605
3903,2015,-1335.0,-1298.0,-2805.0,60.0188,110.3605
3903,2015,-204.0,-2125.0,-2387.0,60.0188,110.3605
3902,2008,1154.0,-1963.0,-809.0,60.0252,110.3584
3902,2009,976.0,-2003.0,-1027.0,60.0252,110.3584
3902,2010,349.0,-1823.0,-1474.0,60.0252,110.3584
3902,2011,294.0,-1312.0,-1018.0,60.0252,110.3584
3902,2012,596.0,-2140.0,-1544.0,60.0252,110.3584
3902,2015,55.0,-2176.0,-2839.0,60.0252,110.3584
3902,2015,-442.0,-1410.0,-1852.0,60.0252,110.3584
3902,2015,-196.0,-2479.0,-2803.0,60.0252,110.3584
3902,2015,-94.0,-3103.0,-3197.0,60.0252,110.3584
3902,2015,82.0,-3175.0,-3269.0,60.0252,110.3584
3902,2015,-238.0,-3247.0,-3341.0,60.0252,110.3584
3902,2015,-78.0,-3211.0,-3305.0,60.0252,110.3584
3902,2015,-160.0,-2632.0,-2890.0,60.0252,110.3584
3904,2008,672.0,-868.0,-196.0,60.7001,110.0116
3904,2015,-26.0,-878.0,-904.0,60.7001,110.0116
3904,2015,-175.0,-608.0,-783.0,60.7001,110.0116
3904,2015,-391.0,-1080.0,-1471.0,60.7001,110.0116
3904,2015,-247.0,-419.0,-666.0,60.7001,110.0116
3904,2015,-289.0,-518.0,-876.0,60.7001,110.0116
3904,2015,-255.0,-493.0,-748.0,60.7001,110.0116
3904,2015,-213.0,-1080.0,-1293.0,60.7001,110.0116
3904,2015,-247.0,-578.0,-850.0,60.7001,110.0116
3904,2015,-315.0,-702.0,-1017.0,60.7001,110.0116
3904,2015,-94.0,-540.0,-706.0,60.7001,110.0116
3904,2015,-235.0,-861.0,-1097.0,60.7001,110.0116
2000,2001,969.0,-184.0,785.0,35.2177735,111.5970154
2000,2002,581.0,-1263.0,-682.0,35.2177735,111.5970154
2000,2003,675.0,-877.0,-202.0,35.2177735,111.5970154
2000,2004,720.0,-1976.0,-1318.0,35.2177735,111.5970154
2000,2006,797.0,-1310.0,-513.0,35.2177735,111.5970154
2000,2007,1053.0,-954.0,99.0,35.2177735,111.5970154
2000,2008,1505.0,-1561.0,-56.0,35.2177735,111.5970154
2000,2009,1061.0,-1180.0,-119.0,35.2177735,111.5970154
2000,2010,850.0,-1200.0,-350.0,35.2177735,111.5970154
2000,2010,880.0,-1115.0,-235.0,35.2177735,111.5970154
2000,2010,940.0,-1031.0,-91.0,35.2177735,111.5970154
2000,2010,1000.0,-730.0,270.0,35.2177735,111.5970154
2000,2010,1490.0,-830.0,660.0,35.2177735,111.5970154
2000,2010,1600.0,-420.0,1180.0,35.2177735,111.5970154
2000,2010,1670.0,-90.0,1580.0,35.2177735,111.5970154
2000,2010,1580.0,-80.0,1500.0,35.2177735,111.5970154
2000,2010,1470.0,-65.0,1405.0,35.2177735,111.5970154
2000,2010,1400.0,-60.0,1340.0,35.2177735,111.5970154
2000,2010,1340.0,-60.0,1280.0,35.2177735,111.5970154
2000,2010,1418.0,-442.0,976.0,35.2177735,111.5970154
2000,2011,560.0,-1660.0,-1100.0,35.2177735,111.5970154
2000,2011,570.0,-1750.0,-1180.0,35.2177735,111.5970154
2000,2011,620.0,-1890.0,-1270.0,35.2177735,111.5970154
2000,2011,700.0,-1780.0,-1080.0,35.2177735,111.5970154
2000,2011,740.0,-1320.0,-580.0,35.2177735,111.5970154
2000,2011,780.0,-1055.0,-275.0,35.2177735,111.5970154
2000,2011,920.0,-810.0,110.0,35.2177735,111.5970154
2000,2011,940.0,-720.0,220.0,35.2177735,111.5970154
2000,2011,940.0,-745.0,195.0,35.2177735,111.5970154
2000,2011,900.0,-730.0,170.0,35.2177735,111.5970154
2000,2011,800.0,-630.0,170.0,35.2177735,111.5970154
2000,2011,809.0,-1128.0,-319.0,35.2177735,111.5970154
2000,2012,560.0,-1660.0,-1100.0,35.2177735,111.5970154
2000,2012,570.0,-1750.0,-1180.0,35.2177735,111.5970154
2000,2012,620.0,-1890.0,-1270.0,35.2177735,111.5970154
2000,2012,700.0,-1780.0,-1080.0,35.2177735,111.5970154
2000,2012,740.0,-1320.0,-580.0,35.2177735,111.5970154
2000,2012,780.0,-1055.0,-275.0,35.2177735,111.5970154
2000,2012,920.0,-810.0,110.0,35.2177735,111.5970154
2000,2012,940.0,-720.0,220.0,35.2177735,111.5970154
2000,2012,940.0,-745.0,195.0,35.2177735,111.5970154
2000,2012,900.0,-730.0,170.0,35.2177735,111.5970154
2000,2012,800.0,-630.0,170.0,35.2177735,111.5970154
2000,2012,810.0,-1130.0,-320.0,35.2177735,111.5970154
2000,2013,890.0,-1990.0,-1100.0,35.2177735,111.5970154
2000,2013,940.0,-1840.0,-900.0,35.2177735,111.5970154
2000,2013,990.0,-1690.0,-700.0,35.2177735,111.5970154
2000,2013,1040.0,-1540.0,-500.0,35.2177735,111.5970154
2000,2013,1095.0,-1370.0,-275.0,35.2177735,111.5970154
2000,2013,1150.0,-750.0,400.0,35.2177735,111.5970154
2000,2013,1500.0,-600.0,900.0,35.2177735,111.5970154
2000,2013,960.0,-260.0,700.0,35.2177735,111.5970154
2000,2013,960.0,-610.0,350.0,35.2177735,111.5970154
2000,2013,960.0,-630.0,330.0,35.2177735,111.5970154
2000,2013,960.0,-650.0,310.0,35.2177735,111.5970154
2000,2013,1110.0,-960.0,150.0,35.2177735,111.5970154
2000,2014,370.0,-1570.0,-1200.0,35.2177735,111.5970154
2000,2014,390.0,-1440.0,-1050.0,35.2177735,111.5970154
2000,2014,410.0,-1310.0,-900.0,35.2177735,111.5970154
2000,2014,940.0,-530.0,410.0,35.2177735,111.5970154
2000,2014,1100.0,-240.0,860.0,35.2177735,111.5970154
2000,2014,1180.0,-250.0,930.0,35.2177735,111.5970154
2000,2014,1220.0,-205.0,1015.0,35.2177735,111.5970154
2000,2014,890.0,-155.0,735.0,35.2177735,111.5970154
2000,2014,780.0,-270.0,510.0,35.2177735,111.5970154
2000,2014,700.0,-245.0,455.0,35.2177735,111.5970154
2000,2014,630.0,-230.0,400.0,35.2177735,111.5970154
2000,2014,950.0,-384.0,566.0,35.2177735,111.5970154
2000,2015,400.0,-1630.0,-1230.0,35.2177735,111.5970154
2000,2015,450.0,-1605.0,-1155.0,35.2177735,111.5970154
2000,2015,500.0,-1575.0,-1075.0,35.2177735,111.5970154
2000,2015,580.0,-1360.0,-780.0,35.2177735,111.5970154
2000,2015,750.0,-1160.0,-410.0,35.2177735,111.5970154
2000,2015,910.0,-880.0,30.0,35.2177735,111.5970154
2000,2015,1090.0,-618.0,472.0,35.2177735,111.5970154
2000,2015,800.0,-555.0,245.0,35.2177735,111.5970154
2000,2015,720.0,-520.0,200.0,35.2177735,111.5970154
2000,2015,650.0,-500.0,150.0,35.2177735,111.5970154
2000,2015,600.0,-500.0,100.0,35.2177735,111.5970154
