"WGMS_ID","YEAR","MASS_BALANCE","POINT_LAT","POINT_LONG","PRECIP_M1","PRECIP_M2","PRECIP_M3","PRECIP_M4","PRECIP_M5","PRECIP_M6","OLR_M1","OLR_M2","OLR_M3","OLR_M4","OLR_M5","OLR_M6","AIR_M1","AIR_M2","AIR_M3","AIR_M4","AIR_M5","AIR_M6"
"878","1994","-32.0","12.37683299999999","342.906333","0.7","0.42","0.11","0.8","0.89","0.12","163.23083","148.46371","151.48499","142.8093","138.09853","147.83012","-33.063","-35.51452","-37.342667","-39.44129","-39.024513","-33.38766"
"878","1995","1.0","12.37683299999999","342.906333","0.1","0.05","0.27","0.01","0.1","0.79","158.65228","152.46832","153.84361","143.94572","144.17784","143.21806","-36.437996","-36.315163","-35.904663","-39.47193","-39.262905","-36.68733"
"878","1996","-7.0","12.37683299999999","342.906333","0.04","0.12","0.42","0.26","0.02","0.25","159.55772","153.32713","147.11252","142.28555","147.33253","157.05673","-35.172997","-37.74935","-42.042995","-37.416134","-36.655163","-37.01466"
"878","1997","27.0","12.37683299999999","342.906333","0.84","1.41","1.15","0.35","1.98","2.63","161.861","152.44693","147.92973","144.69205","140.7453","145.01218","-34.85433","-37.824512","-37.56233","-40.598713","-41.115154","-39.416332"
"878","1998","-10.0","12.37683299999999","342.906333","2.83","0.49","2.91","5.0","3.09","1.71","160.34808","154.21097","151.7077","142.63812","144.6489","144.4323","-36.486332","-35.16838","-37.825325","-38.180645","-39.128063","-37.791668"
"878","1999","-21.0","12.37683299999999","342.906333","0.51","0.65","0.0","0.0","1.59","0.52","161.756","155.35626","148.1907","143.11713","143.48454","147.60173","-35.020664","-37.281612","-37.899338","-36.761288","-36.013866","-37.16633"
"878","2000","-24.0","12.37683299999999","342.906333","0.6","0.29","0.02","2.44","0.33","0.48","159.7716","154.46994","150.38269","142.93344","143.45598","148.64441","-36.36366","-37.313225","-39.013332","-40.73322","-40.63742","-36.689"
"878","2001","-6.0","12.37683299999999","342.906333","0.14","0.26","1.95","0.17","0.29","1.43","158.59834","155.82327","148.8542","143.50389","137.1567","145.6685","-35.617992","-36.069035","-36.751995","-39.289997","-40.862896","-38.364"
"878","2002","-132.0","12.37683299999999","342.906333","0.44","2.27","1.01","1.51","0.19","2.88","162.9428","155.97118","149.63333","139.0148","141.06226","147.77606","-33.88466","-34.864513","-38.963","-38.13742","-35.765156","-37.038334"
"878","2003","6.0","12.37683299999999","342.906333","2.17","1.08","0.36","0.11","1.19","1.26","157.40465","154.41678","146.02643","141.881","141.66745","149.10083","-36.250664","-36.004192","-37.729336","-40.312256","-39.096447","-36.732662"
"878","2004","11.0","12.37683299999999","342.906333","0.44","0.34","0.98","1.74","0.26","1.32","161.93208","149.40323","146.91","136.93646","136.63705","149.37898","-37.007996","-38.709034","-37.720333","-40.297733","-41.232254","-35.924"
"878","2005","-9.0","12.37683299999999","342.906333","0.17","0.67","0.2","0.18","0.22","0.0","161.72461","150.38957","144.70247","140.63857","139.95265","142.76038","-33.282333","-37.5758","-38.231663","-38.558704","-38.05903","-40.974327"
"878","2006","-20.0","12.37683299999999","342.906333","0.06","0.22","0.54","0.9","1.13","1.31","161.13641","148.72688","144.53125","144.25873","144.60016","145.72362","-33.65333","-37.248062","-35.20566","-37.504837","-38.32032","-38.910336"
"878","2007","-30.0","12.37683299999999","342.906333","0.19","0.55","0.39","0.75","0.17","1.2","154.83447","154.8643","149.84969","146.09117","144.95203","146.7919","-35.65333","-35.265804","-38.28266","-36.61354","-39.31226","-36.81599"
