"WGMS_ID","YEAR","MASS_BALANCE","POINT_LAT","POINT_LONG","PRECIP_M1","PRECIP_M2","PRECIP_M3","PRECIP_M4","PRECIP_M5","PRECIP_M6","OLR_M1","OLR_M2","OLR_M3","OLR_M4","OLR_M5","OLR_M6","AIR_M1","AIR_M2","AIR_M3","AIR_M4","AIR_M5","AIR_M6"
"878","1994","36.0","12.37683299999999","342.906333","0.19","0.3","0.17","0.07","0.27","0.06","157.20178","178.50722","198.33008","200.16315","186.26648","172.97523","-33.853226","-23.727657","-19.245478","-19.418058","-27.152494","-31.38258"
"878","1995","51.0","12.37683299999999","342.906333","0.45","1.79","0.58","0.18","0.08","0.2","157.45752","179.81297","195.824","196.78557","187.9754","176.67523","-35.24355","-24.311327","-19.712572","-19.102894","-27.026419","-30.30645"
"878","1996","-14.0","12.37683299999999","342.906333","0.01","0.04","0.13","0.23","0.72","0.48","159.90921","178.78038","195.59555","198.12904","188.10527","173.75441","-31.47258","-27.854664","-17.678707","-18.558382","-21.144474","-31.758385"
"878","1997","9.0","12.37683299999999","342.906333","0.34","0.46","0.19","0.61","0.62","1.37","159.22131","173.49158","196.05052","200.17084","186.55673","175.91931","-33.687416","-23.633657","-16.849354","-18.91096","-25.874994","-30.354837"
"878","1998","41.0","12.37683299999999","342.906333","2.35","0.56","1.08","1.61","0.98","1.61","155.65372","184.88013","199.50055","198.50056","188.40744","170.36679","-34.974514","-23.09266","-17.989353","-19.263865","-25.891068","-35.339027"
"878","1999","5.0","12.37683299999999","342.906333","1.93","1.72","2.53","1.02","0.86","0.09","159.13875","179.98262","195.11403","200.11034","188.96443","174.64348","-33.904835","-26.368662","-18.989023","-17.861609","-25.326426","-31.297417"
"878","2000","14.0","12.37683299999999","342.906333","0.94","0.32","0.52","0.26","0.18","0.58","156.902","179.20372","190.85265","195.73677","186.18567","168.30234","-32.09064","-26.893993","-21.067091","-21.567738","-27.054478","-33.780003"
"878","2001","2.0","12.37683299999999","342.906333","0.12","0.17","0.44","0.07","0.14","0.06","158.70541","186.10556","196.11787","199.46645","187.11148","171.33969","-35.776123","-24.90133","-18.996769","-20.552574","-27.529634","-33.152256"
"878","2002","-3.0","12.37683299999999","342.906333","0.13","0.71","0.5","0.34","1.72","0.72","156.71478","176.98636","194.85262","195.50539","186.0607","177.10655","-33.08161","-24.901995","-18.303219","-18.177092","-27.196424","-30.869032"
"878","2003","11.0","12.37683299999999","342.906333","0.0","0.0","0.0","0.0","0.0","0.46","163.15782","181.71167","197.86063","197.32687","189.70079","174.03697","-31.652582","-28.23833","-18.9229","-19.618382","-24.115355","-31.752901"
"878","2004","-36.0","12.37683299999999","342.906333","0.72","0.68","0.26","0.91","0.39","1.7","163.6301","181.42786","204.26848","201.40471","188.86243","174.62872","-33.819027","-24.297663","-16.350636","-18.168383","-27.052063","-31.285482"
"878","2005","-27.0","12.37683299999999","342.906333","0.35","0.9","0.37","0.29","0.64","0.5","165.8995","180.90178","202.8953","200.62328","189.2678","176.99178","-31.544514","-27.916334","-17.197092","-16.797735","-27.006422","-32.060005"
"878","2006","52.0","12.37683299999999","342.906333","0.71","0.58","0.08","0.46","0.44","0.37","161.83511","179.66548","202.7549","198.41685","183.30743","178.1319","-32.043865","-27.445326","-16.522894","-17.778378","-27.857138","-27.006765"
"878","2007","-3.0","12.37683299999999","342.906333","1.03","0.5","1.76","0.83","0.85","0.53","159.53275","177.06708","193.78639","200.02531","187.25287","175.25081","-32.203545","-22.74966","-19.729027","-16.632896","-25.980707","-31.035807"
"878","2008","-5.0","12.37683299999999","342.906333","0.67","0.75","0.53","1.25","0.53","0.48","158.50255","181.69841","197.01332","196.36377","186.12419","174.22546","-31.363226","-23.919666","-19.135798","-20.303219","-26.676895","-29.927092"
"878","2009","0.0","12.37683299999999","342.906333","0.0","0.25","0.23","0.84","2.09","1.86","159.4261","174.3215","198.07771","196.11159","184.41722","174.54155","-34.21935","-26.354326","-20.561285","-18.48096","-28.597492","-31.170645"
"878","2010","1.0","12.37683299999999","342.906333","0.56","0.25","0.27","0.64","0.75","0.87","165.02531","181.3286","199.21518","205.47415","191.4563","171.94743","-31.592583","-25.033327","-17.05935","-15.70741","-25.74285","-30.757414"
"878","2011","34.0","12.37683299999999","342.906333","0.84","0.06","0.21","3.06","3.0","2.45","164.72916","177.6169","198.44273","204.79341","192.37807","172.13159","-33.072903","-25.625664","-16.914831","-16.346441","-23.837494","-30.993868"
"878","2012","12.0","12.37683299999999","342.906333","2.4","2.11","1.79","2.15","3.23","2.37","158.65266","178.55553","196.66968","196.24712","192.13765","173.01993","-34.254517","-25.09133","-20.111609","-20.498705","-23.979301","-31.02967"
"3973","1994","33.0","12.336667000000006","343.07599999999996","0.24","0.31","0.17","0.07","0.26","0.06","156.11282","177.58568","197.64531","199.58183","185.7706","172.90727","-33.853226","-23.727657","-19.245478","-19.418058","-27.152494","-31.38258"
"3973","1995","37.0","12.336667000000006","343.07599999999996","0.44","1.71","0.56","0.17","0.08","0.19","156.55522","179.06268","195.24002","196.41635","187.39415","175.09456","-35.24355","-24.311327","-19.712572","-19.102894","-27.026419","-30.30645"
"3973","1996","-36.0","12.336667000000006","343.07599999999996","0.01","0.05","0.13","0.23","0.69","0.47","158.97845","177.69276","195.10397","197.32439","187.76701","172.96455","-31.47258","-27.854664","-17.678707","-18.558382","-21.144474","-31.758385"
"3973","1997","13.0","12.336667000000006","343.07599999999996","0.34","0.45","0.18","0.59","0.6","1.31","158.23827","172.31546","196.04593","199.55226","186.3988","175.22067","-33.687416","-23.633657","-16.849354","-18.91096","-25.874994","-30.354837"
"3973","1998","12.0","12.336667000000006","343.07599999999996","2.24","0.58","1.06","1.56","0.95","1.48","154.8714","184.58998","198.85889","198.13806","187.52095","169.20323","-34.974514","-23.09266","-17.989353","-19.263865","-25.891068","-35.339027"
"3973","1999","26.0","12.336667000000006","343.07599999999996","1.83","1.63","2.46","0.99","0.81","0.09","157.89923","179.53111","194.34033","200.20355","188.17877","173.49353","-33.904835","-26.368662","-18.989023","-17.861609","-25.326426","-31.297417"
"3973","2000","-9.0","12.336667000000006","343.07599999999996","0.89","0.3","0.52","0.25","0.17","0.54","156.50862","178.20178","190.5166","195.13437","185.04698","167.39146","-32.09064","-26.893993","-21.067091","-21.567738","-27.054478","-33.780003"
"3973","2001","-14.0","12.336667000000006","343.07599999999996","0.11","0.16","0.41","0.07","0.13","0.06","157.41945","184.59077","195.48767","199.15564","185.86409","170.15367","-35.776123","-24.90133","-18.996769","-20.552574","-27.529634","-33.152256"
"3973","2002","-12.0","12.336667000000006","343.07599999999996","0.14","0.66","0.49","0.33","1.66","0.72","155.79604","176.509","194.42491","195.22804","185.58908","176.6266","-33.08161","-24.901995","-18.303219","-18.177092","-27.196424","-30.869032"
"3973","2003","-17.0","12.336667000000006","343.07599999999996","0.0","0.0","0.0","0.0","0.0","0.43","162.29372","181.388","197.58789","196.80437","188.5166","173.34137","-31.652582","-28.23833","-18.9229","-19.618382","-24.115355","-31.752901"
"3973","2004","-47.0","12.336667000000006","343.07599999999996","0.71","0.67","0.25","0.85","0.37","1.58","162.68718","180.35701","203.92105","200.62018","188.00159","173.98515","-33.819027","-24.297663","-16.350636","-18.168383","-27.052063","-31.285482"
"3973","2005","-40.0","12.336667000000006","343.07599999999996","0.32","0.84","0.35","0.28","0.6","0.47","164.79875","179.8828","202.58002","200.11943","188.41988","176.01756","-31.544514","-27.916334","-17.197092","-16.797735","-27.006422","-32.060005"
"3973","2006","31.0","12.336667000000006","343.07599999999996","0.66","0.54","0.07","0.43","0.42","0.34","160.33664","179.10342","202.38858","198.09164","182.92413","177.31773","-32.043865","-27.445326","-16.522894","-17.778378","-27.857138","-27.006765"
"3973","2007","-35.0","12.336667000000006","343.07599999999996","1.0","0.49","1.64","0.77","0.8","0.49","158.12236","176.34064","193.94138","199.08481","186.94704","174.17941","-32.203545","-22.74966","-19.729027","-16.632896","-25.980707","-31.035807"
"3973","2008","-15.0","12.336667000000006","343.07599999999996","0.64","0.71","0.49","1.18","0.5","0.53","157.2812","181.00398","196.20982","195.98416","185.46434","173.56746","-31.363226","-23.919666","-19.135798","-20.303219","-26.676895","-29.927092"
"3973","2009","20.0","12.336667000000006","343.07599999999996","0.01","0.23","0.26","0.8","1.98","2.01","158.43718","173.72148","197.49916","195.82211","183.86526","173.69412","-34.21935","-26.354326","-20.561285","-18.48096","-28.597492","-31.170645"
"3973","2010","-18.0","12.336667000000006","343.07599999999996","0.55","0.25","0.26","0.61","0.72","0.82","163.74203","180.99744","198.77255","205.15495","190.42508","171.08073","-31.592583","-25.033327","-17.05935","-15.70741","-25.74285","-30.757414"
"3973","2011","24.0","12.336667000000006","343.07599999999996","0.79","0.06","0.2","2.52","2.56","2.07","163.80399","177.17651","197.94025","203.84038","191.46284","171.62546","-33.072903","-25.625664","-16.914831","-16.346441","-23.837494","-30.993868"
"3973","2012","-12.0","12.336667000000006","343.07599999999996","1.81","1.69","1.49","1.74","2.58","2.04","157.52756","177.99757","195.914","195.98221","191.10841","172.56212","-34.254517","-25.09133","-20.111609","-20.498705","-23.979301","-31.02967"
"3903","2008","1250.0","60.0188","110.3605","0.27","0.21","0.24","0.27","0.24","1.44","265.04486","273.35724","261.23074","274.63574","277.791","273.68344","15.930974","16.913338","17.723875","19.099682","21.07207","20.944197"
"3903","2009","983.0","60.0188","110.3605","0.32","0.42","0.03","0.04","0.13","0.24","258.7331","262.9524","275.77588","284.1867","269.79498","269.605","16.650972","16.55334","17.547102","19.469358","19.906435","20.130323"
"3903","2010","366.0","60.0188","110.3605","0.27","0.69","0.12","0.1","0.21","0.48","260.52176","253.0251","270.2426","279.5178","264.6755","257.30637","15.802267","17.44334","18.879683","19.313227","20.124294","20.539999"
"3903","2011","317.0","60.0188","110.3605","0.08","1.42","1.14","2.76","0.32","0.03","268.45874","259.0846","269.48022","273.4543","276.38562","288.23605","16.919035","18.818","18.987097","20.151619","23.038574","22.772263"
"3903","2012","575.0","60.0188","110.3605","0.47","0.15","0.31","0.15","1.0","0.2","259.54376","266.82965","271.86792","274.89294","266.51547","278.69418","17.263233","18.14134","19.29839","20.983547","20.925179","21.534199"
"3903","2015","14.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","-102.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","-43.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","34.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","161.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","26.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","73.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","-1335.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3903","2015","-204.0","60.0188","110.3605","0.24","0.34","0.11","0.18","0.21","0.26","16.719032","17.076658","18.201601","19.674187","20.217852","20.747572"
"3902","2008","1154.0","60.0252","110.3584","0.27","0.21","0.24","0.27","0.24","1.44","265.04486","273.35724","261.23074","274.63574","277.791","273.68344","15.930974","16.913338","17.723875","19.099682","21.07207","20.944197"
"3902","2009","976.0","60.0252","110.3584","0.32","0.42","0.03","0.04","0.13","0.24","258.7331","262.9524","275.77588","284.1867","269.79498","269.605","16.650972","16.55334","17.547102","19.469358","19.906435","20.130323"
"3902","2010","349.0","60.0252","110.3584","0.27","0.69","0.12","0.1","0.21","0.48","260.52176","253.0251","270.2426","279.5178","264.6755","257.30637","15.802267","17.44334","18.879683","19.313227","20.124294","20.539999"
"3902","2011","294.0","60.0252","110.3584","0.08","1.42","1.14","2.76","0.32","0.03","268.45874","259.0846","269.48022","273.4543","276.38562","288.23605","16.919035","18.818","18.987097","20.151619","23.038574","22.772263"
"3902","2012","596.0","60.0252","110.3584","0.47","0.15","0.31","0.15","1.0","0.2","259.54376","266.82965","271.86792","274.89294","266.51547","278.69418","17.263233","18.14134","19.29839","20.983547","20.925179","21.534199"
